Method,Order,Puzzle_length,Solution_length,Visited_states,Calculated_states,Max_deep,Calculating_time
astr,hamm,4,4,5,10,4,0.253
astr,manh,4,4,5,10,4,0.439
bfs,DRLU,4,4,27,60,4,0.897
bfs,DRUL,4,4,27,60,4,0.858
bfs,LUDR,4,4,54,115,4,1.587
bfs,LURD,4,4,54,115,4,1.596
bfs,RDLU,4,4,27,60,4,0.891
bfs,RDUL,4,4,27,60,4,0.878
bfs,ULDR,4,4,54,115,4,1.59
bfs,ULRD,4,4,54,115,4,1.596
dfs,DRLU,4,10,11,21,10,0.351
dfs,DRUL,4,20,21709,21724,20,299.628
dfs,LUDR,4,20,325673,325687,20,4796.506
dfs,LURD,4,20,543785,543796,20,7962.863
dfs,RDLU,4,10,11,21,10,0.364
dfs,RDUL,4,20,220,236,20,3.617
dfs,ULDR,4,20,49068,49083,20,695.142
dfs,ULRD,4,20,280,296,20,4.287
astr,hamm,4,4,6,11,4,0.272
astr,manh,4,4,5,9,4,0.408
bfs,DRLU,4,4,22,50,4,0.778
bfs,DRUL,4,4,30,67,4,0.947
bfs,LUDR,4,4,29,66,4,0.963
bfs,LURD,4,4,29,66,4,0.934
bfs,RDLU,4,4,22,50,4,0.763
bfs,RDUL,4,4,30,67,4,0.953
bfs,ULDR,4,4,37,83,4,1.162
bfs,ULRD,4,4,37,83,4,1.17
dfs,DRLU,4,18,9794,9808,20,131.015
dfs,DRUL,4,18,98379,98392,20,1440.053
dfs,LUDR,4,18,270438,270446,20,4030.693
dfs,LURD,4,20,310993,311005,20,4602.579
dfs,RDLU,4,20,12494,12511,20,176.668
dfs,RDUL,4,18,904,918,20,12.902
dfs,ULDR,4,20,372872,372877,20,5453.78
dfs,ULRD,4,20,270455,270463,20,3990.719
astr,hamm,4,4,5,11,4,0.269
astr,manh,4,4,5,11,4,0.515
bfs,DRLU,4,4,25,55,4,0.824
bfs,DRUL,4,4,25,55,4,0.793
bfs,LUDR,4,4,46,99,4,1.366
bfs,LURD,4,4,56,120,4,1.669
bfs,RDLU,4,4,35,76,4,1.071
bfs,RDUL,4,4,35,76,4,1.077
bfs,ULDR,4,4,46,99,4,1.365
bfs,ULRD,4,4,56,120,4,1.675
dfs,DRLU,4,4,5,11,4,0.213
dfs,DRUL,4,4,5,11,4,0.213
dfs,LUDR,4,20,305222,305235,20,4571.917
dfs,LURD,4,18,288,301,20,4.488
dfs,RDLU,4,18,259646,259660,20,3868.074
dfs,RDUL,4,18,237102,237118,20,3433.137
dfs,ULDR,4,20,312138,312148,20,4683.191
dfs,ULRD,4,18,288,301,20,4.34
astr,hamm,4,4,5,12,4,0.283
astr,manh,4,4,5,12,4,0.482
bfs,DRLU,4,4,49,97,4,1.348
bfs,DRUL,4,4,49,97,4,1.339
bfs,LUDR,4,4,68,142,4,1.938
bfs,LURD,4,4,60,126,4,1.732
bfs,RDLU,4,4,41,81,4,1.129
bfs,RDUL,4,4,41,81,4,1.135
bfs,ULDR,4,4,68,142,4,1.942
bfs,ULRD,4,4,60,126,4,1.732
dfs,DRLU,4,20,324945,324967,20,4821.507
dfs,DRUL,4,20,542817,542836,20,8080.478
dfs,LUDR,4,16,1062,1076,20,14.601
dfs,LURD,4,20,293460,293474,20,4287.639
dfs,RDLU,4,20,78858,78877,20,1163.34
dfs,RDUL,4,20,54,75,20,1.058
dfs,ULDR,4,20,312108,312119,20,4653.369
dfs,ULRD,4,16,763,776,20,10.643
astr,hamm,4,4,5,11,4,0.272
astr,manh,4,4,5,11,4,0.464
bfs,DRLU,4,4,35,77,4,1.076
bfs,DRUL,4,4,40,89,4,1.231
bfs,LUDR,4,4,39,83,4,1.167
bfs,LURD,4,4,41,86,4,1.21
bfs,RDLU,4,4,37,80,4,1.121
bfs,RDUL,4,4,42,92,4,1.291
bfs,ULDR,4,4,44,95,4,1.313
bfs,ULRD,4,4,46,98,4,1.388
dfs,DRLU,4,18,357726,357742,20,5314.509
dfs,DRUL,4,18,169,187,20,2.637
dfs,LUDR,4,18,242,259,20,3.796
dfs,LURD,4,18,78990,79003,20,1163.767
dfs,RDLU,4,18,357738,357753,20,5304.638
dfs,RDUL,4,18,181,198,20,2.963
dfs,ULDR,4,20,488273,488283,20,7232.82
dfs,ULRD,4,20,325660,325674,20,4825.934
astr,hamm,4,4,5,12,4,0.275
astr,manh,4,4,5,12,4,0.493
bfs,DRLU,4,4,39,78,4,1.103
bfs,DRUL,4,4,39,78,4,1.13
bfs,LUDR,4,4,58,123,4,1.691
bfs,LURD,4,4,70,145,4,2.017
bfs,RDLU,4,4,51,100,4,1.387
bfs,RDUL,4,4,51,100,4,1.388
bfs,ULDR,4,4,58,123,4,1.708
bfs,ULRD,4,4,70,145,4,1.978
dfs,DRLU,4,20,51,73,20,1.08
dfs,DRUL,4,20,78855,78875,20,1160.619
dfs,LUDR,4,16,702,716,20,9.84
dfs,LURD,4,20,334299,334311,20,4955.315
dfs,RDLU,4,18,543806,543824,20,8109.814
dfs,RDUL,4,18,325826,325846,20,4823.352
dfs,ULDR,4,18,293461,293474,20,4295.357
dfs,ULRD,4,16,1123,1136,20,15.435
astr,hamm,4,4,5,11,4,0.263
astr,manh,4,4,5,11,4,0.457
bfs,DRLU,4,4,33,73,4,1.031
bfs,DRUL,4,4,33,73,4,1.074
bfs,LUDR,4,4,54,117,4,1.615
bfs,LURD,4,4,48,102,4,1.407
bfs,RDLU,4,4,27,58,4,0.833
bfs,RDUL,4,4,27,58,4,0.84
bfs,ULDR,4,4,54,117,4,1.616
bfs,ULRD,4,4,48,102,4,1.399
dfs,DRLU,4,20,237108,237126,20,3499.195
dfs,DRUL,4,20,259652,259668,20,3832.215
dfs,LUDR,4,18,276,290,20,4.198
dfs,LURD,4,20,334329,334340,20,4952.209
dfs,RDLU,4,12,78651,78663,20,1161.794
